id,mvt_id,name,brand,categories,names,city_fips,city_name,geometry_wkt,institutional
e4a8ae0c-2e89-40c6-b863-b994facc282a,24676193,Grandview Condominiums,NA,"{""primary"":""hotel"",""alternate"":[""accommodation"",""landmark_and_historical_building""]}","{""primary"":""Grandview Condominiums"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36286 43.52878),FALSE
9db4398a-aee1-4f08-84e2-ad6eb67ad666,24676165,Island View Motel,NA,"{""primary"":""hotel"",""alternate"":[""motel"",""accommodation""]}","{""primary"":""Island View Motel"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.3648 43.52741),FALSE
e59c06e6-16c0-4237-b3da-b82d2998db31,24676160,Cross Winds Cottages and Motel,NA,"{""primary"":""hotel"",""alternate"":[""accommodation"",""motel""]}","{""primary"":""Cross Winds Cottages and Motel"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36707 43.52493),FALSE
e9023f9c-ba75-486d-b98a-a4de908dc3f3,24676161,Nautical Point Main,NA,"{""primary"":""professional_services"",""alternate"":[""bar""]}","{""primary"":""Nautical Point Main"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36586 43.52639),FALSE
d3c235ad-b731-47bb-9d07-cd4780db5e7b,24676162,The RANGE Beach House,NA,"{""primary"":""holiday_rental_home"",""alternate"":[""beach""]}","{""primary"":""The RANGE Beach House"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36544 43.5262),FALSE
155af2cf-588f-4799-90cf-647b82faa286,24676164,Friendship Oceanfront Suites,NA,"{""primary"":""hotel"",""alternate"":[""motel"",""holiday_rental_home""]}","{""primary"":""Friendship Oceanfront Suites"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36511 43.52646),FALSE
d6fb92b2-88dd-4261-9665-7a43296fe620,24676163,Beachwalk Four,NA,"{""primary"":""holiday_rental_home"",""alternate"":[""cottage"",""bar""]}","{""primary"":""Beachwalk Four"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36533 43.52596),FALSE
8fa7d2fd-aa29-4cca-a080-55a171bb8c54,24676169,Sheilas Country Store,NA,"{""primary"":""convenience_store"",""alternate"":[""delicatessen"",""grocery_store""]}","{""primary"":""Sheilas Country Store"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36434 43.52768),FALSE
35531cdf-209e-4495-adeb-fd54f4a82f9d,24676191,Patra's Grand Beach Motel,NA,"{""primary"":""hotel"",""alternate"":[""beach"",""travel""]}","{""primary"":""Patra's Grand Beach Motel"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36339 43.52828),FALSE
267707bb-c44e-4297-b26e-4d0977ace1db,24676168,Little Miss Cottages,NA,"{""primary"":""hotel"",""alternate"":[""holiday_rental_home"",""cottage""]}","{""primary"":""Little Miss Cottages"",""common"":null,""rules"":null}",2355120,"Old Orchard Beach, Maine",POINT (-70.36447 43.52731),FALSE
